Postal Code,City,State,Country
01054,Sächsische Aufbaubank,Sachsen,Germany
01057,HUK-Coburg,Sachsen,Germany
01067,Dresden,Sachsen,Germany
01067,Dresden Friedrichstadt,Sachsen,Germany
01067,Dresden Innere Altstadt,Sachsen,Germany
01069,Dresden,Sachsen,Germany
01095,Sächsische Staatskanzlei,Sachsen,Germany
01097,Dresden,Sachsen,Germany
01099,Dresden,Sachsen,Germany
01108,Dresden,Sachsen,Germany
01108,Marsdorf,Sachsen,Germany
01108,Weixdorf,Sachsen,Germany
01109,Dresden,Sachsen,Germany
01109,Hellerau,Sachsen,Germany
01109,Klotzsche,Sachsen,Germany
01109,Wilschdorf,Sachsen,Germany
01127,Dresden,Sachsen,Germany
01129,Dresden,Sachsen,Germany
01139,Dresden,Sachsen,Germany
01156,Dresden,Sachsen,Germany
01156,Dresden Altfranken,Sachsen,Germany
01156,Dresden Gompitz,Sachsen,Germany
01156,"Dresden Gompitz, Gompitz",Sachsen,Germany
01156,"Dresden Gompitz, Ockerwitz",Sachsen,Germany
01156,"Dresden Gompitz, Pennrich",Sachsen,Germany
01156,"Dresden Gompitz, Roitzsch",Sachsen,Germany
01156,"Dresden Gompitz, Steinbach",Sachsen,Germany
01156,"Dresden Gompitz, Unkersdorf",Sachsen,Germany
01156,"Dresden Gompitz, Zöllmen",Sachsen,Germany
01157,Dresden,Sachsen,Germany
01159,Dresden,Sachsen,Germany
01169,Dresden,Sachsen,Germany
01187,Dresden,Sachsen,Germany
01189,Dresden,Sachsen,Germany
01217,Dresden,Sachsen,Germany
01219,Dresden,Sachsen,Germany
01237,Dresden,Sachsen,Germany
01239,Dresden,Sachsen,Germany
01257,Dresden,Sachsen,Germany
01259,Dresden,Sachsen,Germany
01277,Dresden,Sachsen,Germany
01277,Dresden Striesen,Sachsen,Germany
01277,Dresden Tolkewitz,Sachsen,Germany
01279,Dresden,Sachsen,Germany
01279,Dresden Tolkewitz,Sachsen,Germany
01305,Ostsächsische Sparkasse Dresden,Sachsen,Germany
01307,Dresden,Sachsen,Germany
01309,Dresden,Sachsen,Germany
01309,Dresden Blasewitz,Sachsen,Germany
01324,Dresden,Sachsen,Germany
01326,Dresden,Sachsen,Germany
01328,Dresden,Sachsen,Germany
01445,Radebeul,Sachsen,Germany
01454,Radeberg,Sachsen,Germany
01454,Wachau,Sachsen,Germany
01458,Ottendorf-Okrilla,Sachsen,Germany
01465,Dresden,Sachsen,Germany
01465,Dresden Langebrück,Sachsen,Germany
01468,Moritzburg,Sachsen,Germany
01471,Radeburg,Sachsen,Germany
01477,Arnsdorf,Sachsen,Germany
01558,Großenhain,Sachsen,Germany
01561,Ebersbach,Sachsen,Germany
01561,Lampertswalde,Sachsen,Germany
01561,Priestewitz,Sachsen,Germany
01561,Schönfeld,Sachsen,Germany
01561,Tauscha,Sachsen,Germany
01561,Thiendorf,Sachsen,Germany
01561,Weißig am Raschütz,Sachsen,Germany
01561,Wildenhain,Sachsen,Germany
01561,Zabeltitz,Sachsen,Germany
01587,Riesa,Sachsen,Germany
01589,Riesa,Sachsen,Germany
01591,Riesa,Sachsen,Germany
01594,Hirschstein,Sachsen,Germany
01594,Stauchitz,Sachsen,Germany
01609,Gröditz,Sachsen,Germany
01609,Nauwalde,Sachsen,Germany
01609,Wülknitz,Sachsen,Germany
01612,Diesbar-Seußlitz,Sachsen,Germany
01612,Glaubitz,Sachsen,Germany
01612,Nünchritz,Sachsen,Germany
01616,Strehla,Sachsen,Germany
01619,Röderaue,Sachsen,Germany
01619,Zeithain,Sachsen,Germany
01623,Ketzerbachtal,Sachsen,Germany
01623,Leuben-Schleinitz,Sachsen,Germany
01623,Lommatzsch,Sachsen,Germany
01640,Coswig,Sachsen,Germany
01662,Meißen,Sachsen,Germany
01665,Diera-Zehren,Sachsen,Germany
01665,Klipphausen,Sachsen,Germany
01665,Käbschütztal,Sachsen,Germany
01665,Taubenheim,Sachsen,Germany
01665,Triebischtal,Sachsen,Germany
01683,Heynitz,Sachsen,Germany
01683,Nossen,Sachsen,Germany
01689,Niederau,Sachsen,Germany
01689,Weinböhla,Sachsen,Germany
01705,Freital,Sachsen,Germany
01723,Wilsdruff,Sachsen,Germany
01728,Bannewitz,Sachsen,Germany
01731,Kreischa,Sachsen,Germany
01734,Rabenau,Sachsen,Germany
01737,Tharandt,Sachsen,Germany
01738,Dorfhain,Sachsen,Germany
01744,Dippoldiswalde,Sachsen,Germany
01762,Hartmannsdorf-Reichenau,Sachsen,Germany
01762,Schmiedeberg,Sachsen,Germany
01768,Bärenstein,Sachsen,Germany
01768,Glashütte,Sachsen,Germany
01768,Reinhardtsgrimma,Sachsen,Germany
01773,Altenberg,Sachsen,Germany
01774,Höckendorf,Sachsen,Germany
01774,Pretzschendorf,Sachsen,Germany
01776,Hermsdorf/Erzgebirge,Sachsen,Germany
01778,Geising,Sachsen,Germany
01796,Dohma,Sachsen,Germany
01796,Pirna,Sachsen,Germany
01796,Struppen,Sachsen,Germany
01809,Dohna,Sachsen,Germany
01809,Heidenau,Sachsen,Germany
01809,Müglitztal,Sachsen,Germany
01814,Bad Schandau,Sachsen,Germany
01814,Porschdorf,Sachsen,Germany
01814,Rathmannsdorf,Sachsen,Germany
01814,Reinhardtsdorf-Schöna,Sachsen,Germany
01816,Bad Gottleuba-Berggießhübel,Sachsen,Germany
01819,Bahretal,Sachsen,Germany
01824,Gohrisch,Sachsen,Germany
01824,Königstein/Sächsische Schweiz,Sachsen,Germany
01824,Rathen,Sachsen,Germany
01824,Rosenthal-Bielatal,Sachsen,Germany
